60408775,Fanny Ladeira,fannyladeira,Jundiaí/Brazil,http://www.cafecomblablabla.com.br,Fanny tem 27 anos e mora em Jundiaí. Fanny gosta de: livros  música filmes e viajar. Fanny não gosta: de descrevê-la. Colunista do @cafeblablabla,false,340,332,3,977,24223,Sun Jul 26 22:07:02 +0000 2009,-10800,Brasilia,true,en,https://pbs.twimg.com/profile_images/812051341484949504/In-4UBAj_normal.jpg
706149770033831936,maueroco,maueroco,"Santa Maria da Feira, Portugal",https://tiagomauricio.wordpress.com,Moro num T0 com vista para tudo chamado Internet.,false,164,268,4,4155,9118,Sat Mar 05 16:09:59 +0000 2016,-28800,Pacific Time (US & Canada),false,pt,https://pbs.twimg.com/profile_images/828626075433463809/lJTyTZyx_normal.jpg
123961234,Clarice Binda,ClariceBinda,São Luís - MA - Brasil,,Defensora Pública do Estado do Maranhão,false,261,708,1,820,2631,Wed Mar 17 19:52:45 +0000 2010,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/823690098055200768/JIXVmBHg_normal.jpg
713387963430862849,Pérola,perolakimi,,http://weheartit.com/perolakimi,Engenheira por profissão  amante da cultura oriental por opção. Viciada em doramas  Kpop  animes e mangás. Apaixonada por: CNBLUE/  WINNER / DAY6 ❤,false,239,179,5,12891,7939,Fri Mar 25 15:31:59 +0000 2016,-28800,Pacific Time (US & Canada),true,pt,https://pbs.twimg.com/profile_images/836247769874595841/wFLMvsnu_normal.jpg
204198030,Marco V. Albuja M.,MarcoAlbuja,"Washington, DC",,Cuenta Personal de información y difusión.,false,8883,1221,153,24361,73281,Mon Oct 18 04:20:24 +0000 2010,-18000,Eastern Time (US & Canada),true,es,https://pbs.twimg.com/profile_images/756521067989102593/makqDiBT_normal.jpg
1282008877,vih,hilariousperry,Prismatic World Tour 09.25.15,https://twitter.com/rihanna/status/210901922088095744,♒️ I give zero fucks and I got zero chill in me ♒️ series addict  procrastination king and proud katy perry stan ☁️,false,9556,6490,18,14835,48152,Wed Mar 20 01:34:42 +0000 2013,-7200,Mid-Atlantic,true,pt,https://pbs.twimg.com/profile_images/838923885651296256/x4nFApF__normal.jpg
64230069,Daniele R. de Paula,Danielerps,"Sao Paulo, Brasil",,Nos bastidores. Marketeira  freelancer e às vezes uma pessoa legal :),false,20,28,0,34,36,Sun Aug 09 19:04:49 +0000 2009,,,true,en,https://pbs.twimg.com/profile_images/753070364553515012/7sQiCA9m_normal.jpg
364353653,Iury,Iury_oficial,MG,,Você  com tão pouca fé Não duvide  não duvide  A vitória está em minhas veias ... Rising,false,996,880,3,2823,46054,Mon Aug 29 16:45:06 +0000 2011,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/759855396240490496/aolDdPTB_normal.jpg
822263441738133506,Ju ♑,joanaandrea95,"Lisboa, Portugal",,09 💙 || SPORT LISBOA E BENFICA ❤ || IG: joanasantospereira95,false,43,190,0,546,669,Fri Jan 20 02:04:16 +0000 2017,,,false,pt,https://pbs.twimg.com/profile_images/826661169926651905/Of9iLCB9_normal.jpg
830837095790817280,João Vitor,Jvittyr,"Santa Inês, Brasil",,,false,77,157,0,997,359,Sun Feb 12 17:52:54 +0000 2017,,,false,pt,https://pbs.twimg.com/profile_images/830841312689614848/Xw1CStmM_normal.jpg
823591583551471617,WomanInterruptedApp,WomanInterruptd,,http://womaninterruptedapp.com,Manterruption: when men interrupt women unnecessarily. That's why we created Woman Interrupted App. Download now.  #WomanInterruptedApp #EqualRightsEqualVoices,false,35,210,0,48,20,Mon Jan 23 18:01:49 +0000 2017,-28800,Pacific Time (US & Canada),false,en,https://pbs.twimg.com/profile_images/823632369953492993/XOI6Rmwx_normal.jpg
3073972067,Serena Tal,baserenar,,,incomum,false,1095,288,2,26052,27505,Fri Mar 06 02:08:27 +0000 2015,-14400,Atlantic Time (Canada),true,pt,https://pbs.twimg.com/profile_images/839229534507577345/nnzG1JGl_normal.jpg
33572792,Amanda Garruth,amandagarruth,"RJ, Brasil",http://www.amandagarruth.com.br,"Boa \"novidade no monte adiante\" (♫ \"O monte\" - Amanda Garruth e Thiago Rudrea)",false,417,236,8,139,2614,Mon Apr 20 16:35:59 +0000 2009,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/825866968666365952/DfW5vZYZ_normal.jpg
33572792,Amanda Garruth,amandagarruth,"RJ, Brasil",http://www.amandagarruth.com.br,"Boa \"novidade no monte adiante\" (♫ \"O monte\" - Amanda Garruth e Thiago Rudrea)",false,417,236,8,140,2615,Mon Apr 20 16:35:59 +0000 2009,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/825866968666365952/DfW5vZYZ_normal.jpg
33572792,Amanda Garruth,amandagarruth,"RJ, Brasil",http://www.amandagarruth.com.br,"Boa \"novidade no monte adiante\" (♫ \"O monte\" - Amanda Garruth e Thiago Rudrea)",false,417,236,8,141,2616,Mon Apr 20 16:35:59 +0000 2009,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/825866968666365952/DfW5vZYZ_normal.jpg
287877343,Camila,indisposta_,Rio De Janeiro,https://www.youtube.com/watch?v=8Nb82EIcgnQ,Viverei todos os dias da minha vida por você.  @katyperry 05.03.13 ♥,false,1590,1272,11,15987,36066,Mon Apr 25 21:06:15 +0000 2011,-10800,Brasilia,true,pt,https://pbs.twimg.com/profile_images/830944904167702528/fgqULVor_normal.jpg
2326191477,Ronny Hudson,minaj_perry,"São Luís - Ma, Brazil",https://www.instagram.com/ronnyhudson/,@katyperry 👑👑 😻KatyCat❤  @NickiMinaj @LittleMix @ArianaGrande  ❤Jordan Reis😍 Insta👉ronnyhudson ✌,false,3561,2187,10,4762,36383,Wed Feb 05 15:49:28 +0000 2014,,,true,pt,https://pbs.twimg.com/profile_images/804798435668922368/hOFANBul_normal.jpg
2215407589,Snehalata jain,snehalataj,India Mumbai,http://page.is/snehalata-jain,Life is difficult  to understand  baki I'm #microbiologist by profession loves being #Techies #foodie #travel,false,22847,4089,290,39601,343755,Tue Nov 26 09:13:31 +0000 2013,-28800,Pacific Time (US & Canada),true,en,https://pbs.twimg.com/profile_images/838943952212377601/A7onh__B_normal.jpg
